City ID,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Amahai,ID,-3.3333,128.9167,86.99,65,69,5.1,Broken Clouds
1,Ushuaia,AR,-54.8,-68.3,46.06,87,0,4.61,Clear Sky
2,Hambantota,LK,6.1241,81.1185,77.34,100,75,1.14,Broken Clouds
3,Torbay,CA,47.6666,-52.7314,43.75,84,100,26.46,Overcast Clouds
4,Tuktoyaktuk,CA,69.4541,-133.0374,12.2,92,100,18.41,Light Snow
5,Sao Sebastiao,BR,-23.76,-45.4097,73.62,90,97,5.41,Overcast Clouds
6,Tiksi,RU,71.6872,128.8694,-10.77,91,100,12.77,Overcast Clouds
7,Salalah,OM,17.0151,54.0924,71.69,56,0,2.3,Clear Sky
8,Fortuna Foothills,US,32.6578,-114.4119,62.08,28,0,6.91,Clear Sky
9,Deputatskiy,RU,69.3,139.9,-27.92,98,72,4.99,Broken Clouds
10,Kapaa,US,22.0752,-159.319,82.38,74,40,17.27,Scattered Clouds
11,Mount Isa,AU,-20.7333,139.5,85.77,23,0,11.5,Clear Sky
12,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,75.15,96,69,1.3,Broken Clouds
13,Vaini,TO,-21.2,-175.2,77.16,94,40,4.61,Shower Rain
14,Aden,YE,12.7794,45.0367,78.19,73,1,10.49,Clear Sky
15,Hithadhoo,MV,-0.6,73.0833,81.54,77,76,14.32,Broken Clouds
16,Saint-Philippe,RE,-21.3585,55.7679,69.39,72,43,14.32,Scattered Clouds
17,Busselton,AU,-33.65,115.3333,69.15,42,0,6.31,Clear Sky
18,Sisimiut,GL,66.9395,-53.6735,21.97,92,100,11.3,Light Snow
19,East London,ZA,-33.0153,27.9116,64.22,80,95,19.26,Overcast Clouds
20,Puerto Ayora,EC,-0.7393,-90.3518,69.55,87,59,5.01,Broken Clouds
21,Yellowknife,CA,62.456,-114.3525,27.12,93,100,16.11,Light Snow
22,Punta Arenas,CL,-53.15,-70.9167,50.11,81,40,17.27,Scattered Clouds
23,College,US,64.8569,-147.8028,28.08,92,100,4.61,Light Snow
24,Santa Cruz Do Capibaribe,BR,-7.9575,-36.2047,71.02,89,48,6.15,Scattered Clouds
25,Le Pradet,FR,43.1066,6.0172,57.61,86,100,5.75,Overcast Clouds
26,Dingle,PH,10.9995,122.6711,86.16,73,99,9.66,Light Rain
27,Sao Filipe,CV,14.8961,-24.4956,74.97,74,100,11.45,Overcast Clouds
28,Toccoa,US,34.5773,-83.3324,46.04,65,100,6.91,Overcast Clouds
29,Mataura,NZ,-46.1927,168.8643,71.71,45,99,2.75,Overcast Clouds
30,Mar Del Plata,AR,-38.0023,-57.5575,60.1,97,100,16.11,Light Intensity Drizzle
31,Pangnirtung,CA,66.1451,-65.7125,4.8,95,100,2.77,Overcast Clouds
32,Albany,US,42.6001,-73.9662,33.4,68,23,1.99,Few Clouds
33,San Patricio,US,28.017,-97.5169,62.89,89,47,6.85,Scattered Clouds
34,Bredasdorp,ZA,-34.5322,20.0403,58.55,72,35,9.33,Scattered Clouds
35,Green Valley,US,31.8543,-110.9937,54.43,35,23,2.93,Few Clouds
36,Sarkand,KZ,45.41,79.9186,45.16,50,100,5.7,Overcast Clouds
37,Mahebourg,MU,-20.4081,57.7,71.89,60,75,9.22,Broken Clouds
38,Manali,IN,13.1667,80.2667,77.09,72,99,11.14,Overcast Clouds
39,Egvekinot,RU,66.3167,-179.1667,10.35,99,99,1.01,Overcast Clouds
40,Kavieng,PG,-2.5744,150.7967,85.57,69,81,10.09,Broken Clouds
41,Pevek,RU,69.7008,170.3133,-11.43,100,100,3.47,Overcast Clouds
42,Alofi,NU,-19.0595,-169.9187,76.89,94,100,10.36,Overcast Clouds
43,Odweyne,SO,9.4092,45.064,63.18,54,0,8.88,Clear Sky
44,Benito Juarez,MX,19.385,-99.165,67.84,47,40,0.0,Scattered Clouds
45,Khatanga,RU,71.9667,102.5,-7.74,97,100,14.58,Overcast Clouds
46,Tefe,BR,-3.3542,-64.7114,78.35,83,97,2.44,Overcast Clouds
47,Georgetown,MY,5.4112,100.3354,80.53,94,20,3.44,Few Clouds
48,Hermanus,ZA,-34.4187,19.2345,61.81,84,0,12.33,Clear Sky
49,Hami,CN,42.8,93.45,42.35,34,90,5.91,Overcast Clouds
50,Karasburg,NA,-28.0167,18.75,62.62,26,2,8.77,Clear Sky
51,Hobart,AU,-42.8794,147.3294,48.06,87,100,17.27,Moderate Rain
52,Touros,BR,-5.1989,-35.4608,78.22,77,42,11.41,Scattered Clouds
53,Muli,MV,2.9167,73.5667,81.39,77,86,12.12,Overcast Clouds
54,Atuona,PF,-9.8,-139.0333,77.79,76,4,16.04,Clear Sky
55,Port Alfred,ZA,-33.5906,26.891,63.18,87,39,1.99,Scattered Clouds
56,Mayya,RU,61.7333,130.2811,-27.69,96,99,5.91,Overcast Clouds
57,Kudahuvadhoo,MV,2.6708,72.8944,81.23,76,53,12.91,Broken Clouds
58,Thompson,CA,55.7435,-97.8558,1.56,85,0,0.0,Clear Sky
59,Avarua,CK,-21.2078,-159.775,77.05,57,67,13.8,Broken Clouds
60,Kifri,IQ,34.6959,44.9661,58.53,38,0,2.24,Clear Sky
61,Iqaluit,CA,63.7506,-68.5145,11.93,79,100,16.11,Light Snow
62,Naze,JP,28.3667,129.4833,67.12,73,100,12.73,Overcast Clouds
63,Castro,BR,-24.7911,-50.0119,61.07,98,97,4.0,Overcast Clouds
64,Port Hardy,CA,50.6996,-127.4199,39.38,100,100,3.44,Mist
65,Alice Springs,AU,-23.7,133.8833,80.15,26,13,6.91,Few Clouds
66,Tura,IN,25.5198,90.2201,72.05,67,0,0.72,Clear Sky
67,New Norfolk,AU,-42.7826,147.0587,49.5,81,100,5.01,Light Rain
68,Butaritari,KI,3.0707,172.7902,80.67,80,33,10.27,Scattered Clouds
69,Luang Prabang,LA,19.8856,102.1347,75.16,69,40,4.61,Scattered Clouds
70,Bardiyah,LY,31.7561,25.0865,62.58,66,0,11.07,Clear Sky
71,Cabo San Lucas,MX,22.8909,-109.9124,76.6,73,0,12.66,Clear Sky
72,Fortuna,US,40.5982,-124.1573,46.98,95,75,4.61,Broken Clouds
73,Qaanaaq,GL,77.484,-69.3632,-2.54,79,38,4.9,Scattered Clouds
74,Geraldton,AU,-28.7667,114.6,90.01,13,0,16.11,Clear Sky
75,Okhotsk,RU,59.3833,143.3,13.82,90,100,7.2,Overcast Clouds
76,Lagoa,PT,39.05,-27.9833,62.51,71,44,9.71,Scattered Clouds
77,Guerrero Negro,MX,27.9769,-114.0611,63.5,56,99,5.12,Overcast Clouds
78,Adre,TD,13.4667,22.2,64.89,26,35,12.91,Scattered Clouds
79,Heilbron,ZA,-27.2812,27.9709,53.4,91,33,7.43,Scattered Clouds
80,Sungaipenuh,ID,-2.0833,101.3833,71.74,78,100,3.62,Moderate Rain
81,Souillac,MU,-20.5167,57.5167,71.98,60,75,9.22,Broken Clouds
82,Pinyug,RU,60.251,47.7842,17.58,84,100,7.61,Overcast Clouds
83,Elban,RU,50.1018,136.5094,25.83,63,6,5.44,Clear Sky
84,Chokurdakh,RU,70.6333,147.9167,-15.68,99,100,10.38,Overcast Clouds
85,Inta,RU,66.0317,60.1659,-3.08,87,99,5.75,Overcast Clouds
86,Mount Gambier,AU,-37.8333,140.7667,55.15,49,85,12.48,Overcast Clouds
87,Cape Town,ZA,-33.9258,18.4232,61.12,81,0,4.16,Clear Sky
88,Haines Junction,CA,60.7522,-137.5108,35.55,93,100,2.3,Overcast Clouds
89,Bengkulu,ID,-3.8004,102.2655,82.18,68,96,8.08,Overcast Clouds
90,Rafaela,AR,-31.2503,-61.4867,67.98,31,0,6.82,Clear Sky
91,Port Blair,IN,11.6667,92.75,82.44,83,40,0.0,Scattered Clouds
92,Trincomalee,LK,8.5711,81.2335,77.99,82,65,5.84,Broken Clouds
93,Sioux Lookout,CA,50.1001,-91.917,17.67,93,75,4.61,Broken Clouds
94,Veracruz,MX,19.3333,-96.6667,68.34,95,80,2.68,Broken Clouds
95,Rio Cuarto,AR,-33.1307,-64.3499,64.17,45,0,0.0,Clear Sky
96,Ponta Do Sol,PT,32.6667,-17.1,68.72,69,94,2.1,Overcast Clouds
97,Ambilobe,MG,-13.2,49.05,72.99,81,6,3.15,Clear Sky
98,Taoudenni,ML,22.6783,-3.9836,75.29,15,100,9.86,Overcast Clouds
99,Asau,RO,46.4333,26.4,40.28,82,27,3.2,Scattered Clouds
100,Hilo,US,19.7297,-155.09,80.33,74,100,8.05,Overcast Clouds
101,Soweto,ZA,-26.2678,27.8585,57.54,77,16,2.3,Few Clouds
102,Gat,IL,31.61,34.7642,65.8,100,11,2.71,Few Clouds
103,Makakilo City,US,21.3469,-158.0858,80.92,55,0,13.8,Clear Sky
104,Opuwo,NA,-18.0607,13.84,63.86,33,1,5.3,Clear Sky
105,Palmer,US,42.1584,-72.3287,33.17,75,20,0.0,Few Clouds
106,Sao Bernardo,BR,-3.3614,-42.4178,76.89,86,100,8.03,Light Rain
107,Bubaque,GW,11.2833,-15.8333,83.16,69,100,11.63,Overcast Clouds
108,Novaya Igirma,RU,57.1334,103.9112,13.64,88,87,2.48,Overcast Clouds
109,Rikitea,PF,-23.1203,-134.9692,74.71,83,100,13.15,Overcast Clouds
110,Norman Wells,CA,65.282,-126.8329,19.44,93,100,24.16,Light Snow
111,Labuhan,ID,-6.8844,112.2051,85.78,67,100,1.48,Overcast Clouds
